Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,Chelsea,38,29,4,5,72,22,50,91
2,Manchester United,38,25,8,5,72,34,38,83
3,Liverpool,38,25,7,6,57,25,32,82
4,Arsenal,38,20,7,11,61,31,30,67
5,Tottenham Hotspur,38,18,11,9,53,38,15,65
6,Blackburn Rovers,38,19,6,13,51,42,9,63
7,Newcastle United,38,17,7,14,47,42,5,58
8,Bolton Wanderers,38,16,10,12,49,41,8,58
9,West Ham United,38,16,7,15,52,55,-3,55
10,Wigan Athletic,38,15,8,15,45,52,-7,53
11,Everton,38,14,8,16,34,50,-16,50
12,Fulham,38,14,8,16,48,58,-10,50
13,Charlton Athletic,38,13,10,15,41,55,-14,49
14,Middlesbrough,38,12,14,12,48,58,-10,50
15,Manchester City,38,13,4,21,43,45,-2,43
16,Aston Villa,38,10,12,16,42,52,-10,42
17,Portsmouth,38,10,8,20,37,62,-25,38
18,Birmingham City,38,8,10,20,28,50,-22,34
19,West Bromwich Albion,38,7,9,22,31,58,-27,30
20,Sunderland,38,3,6,29,26,69,-43,15
