Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,Manchester United,38,27,6,5,80,22,58,87
2,Chelsea,38,25,10,3,65,26,39,85
3,Arsenal,38,24,11,3,74,31,43,83
4,Liverpool,38,21,13,4,67,28,39,76
5,Everton,38,19,8,11,55,33,22,65
6,Aston Villa,38,16,10,12,71,51,20,58
7,Blackburn Rovers,38,15,13,10,50,48,2,58
8,Portsmouth,38,16,9,13,48,40,8,57
9,Manchester City,38,15,10,13,45,53,-8,55
10,West Ham United,38,13,10,15,42,50,-8,49
11,Tottenham Hotspur,38,11,13,14,66,61,5,46
12,Newcastle United,38,11,14,13,45,47,-2,47
13,Middlesbrough,38,10,15,13,43,53,-10,45
14,Wigan Athletic,38,10,13,15,34,51,-17,43
15,Sunderland,38,9,8,21,36,59,-23,35
16,Bolton Wanderers,38,9,10,19,36,54,-18,37
17,Fulham,38,8,12,18,38,60,-22,36
18,Reading,38,10,6,22,41,66,-25,36
19,Birmingham City,38,8,11,19,44,62,-18,35
20,Derby County,38,1,8,29,20,89,-69,11
