Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,Arsenal,38,26,12,0,73,26,47,90
2,Chelsea,38,24,7,7,67,30,37,79
3,Manchester United,38,23,6,9,64,35,29,75
4,Liverpool,38,16,12,10,55,37,18,60
5,Newcastle United,38,13,17,8,52,40,12,56
6,Aston Villa,38,15,11,12,48,44,4,56
7,Charlton Athletic,38,14,11,13,51,51,0,53
8,Bolton Wanderers,38,14,11,13,51,50,1,53
9,Fulham,38,14,11,13,52,46,6,52
10,Birmingham City,38,12,14,12,48,48,0,50
11,Middlesbrough,38,13,9,16,44,52,-8,48
12,Southampton,38,12,11,15,44,45,-1,47
13,Portsmouth,38,12,9,17,47,54,-7,45
14,Tottenham Hotspur,38,13,6,19,47,57,-10,45
15,Blackburn Rovers,38,12,8,18,51,59,-8,44
16,Manchester City,38,12,9,17,45,54,-9,41
17,Everton,38,11,9,18,43,57,-14,42
18,Leicester City,38,6,15,17,48,77,-29,33
19,Leeds United,38,8,9,21,40,78,-38,33
20,Wolverhampton Wanderers,38,7,12,19,38,77,-39,33
