EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;23;11;4;78;37;41;80;60.53;64;3;Alex Ferguson;Old Trafford;2010/2011
Chelsea;38;21;8;9;69;33;36;71;55.26;67;4;Carlo Ancelotti;Stamford Bridge;2010/2011
Manchester City;38;21;8;9;60;33;27;71;55.26;71;5;Roberto Mancini;City of Manchester Stadium;2010/2011
Arsenal;38;19;11;8;72;43;29;68;50.00;65;4;Arsene Wenger;Emirates Stadium;2010/2011
Tottenham Hotspur;38;16;14;8;55;46;9;62;42.11;68;6;Harry Redknapp;White Hart Lane;2010/2011
Liverpool;38;17;7;14;59;44;15;58;44.74;64;3;Kenny Dalglish;Anfield;2010/2011
Everton;38;13;15;10;51;45;6;54;34.21;66;4;David Moyes;Goodison Park;2010/2011
Fulham;38;11;16;11;49;43;6;49;28.95;63;2;Mark Hughes;Craven Cottage;2010/2011
Aston Villa;38;12;12;14;48;59;-11;48;31.58;70;6;Gerard Houllier;Villa Park;2010/2011
Sunderland;38;12;11;15;45;56;-11;47;31.58;68;4;Steve Bruce;Stadium of Light;2010/2011
West Bromwich Albion;38;12;11;15;56;71;-15;47;31.58;74;5;Roy Hodgson;The Hawthorns;2010/2011
Newcastle United;38;11;13;14;56;57;-1;46;28.95;75;5;Alan Pardew;St James Park;2010/2011
Stoke City;38;13;7;18;46;48;-2;46;34.21;77;6;Tony Pulis;Britannia Stadium;2010/2011
Bolton Wanderers;38;12;10;16;52;56;-4;46;31.58;72;4;Owen Coyle;Reebok Stadium;2010/2011
Blackburn Rovers;38;11;9;18;46;59;-13;42;28.95;76;6;Steve Kean;Ewood Park;2010/2011
Wigan Athletic;38;9;15;14;40;61;-21;42;23.68;69;5;Roberto Martinez;DW Stadium;2010/2011
Wolverhampton Wanderers;38;11;5;22;46;66;-20;38;28.95;74;7;Mick McCarthy;Molineux Stadium;2010/2011
Birmingham City;38;8;15;15;37;58;-21;39;21.05;67;4;Alex McLeish;St Andrews;2010/2011
Blackpool;38;10;9;19;55;78;-23;39;26.32;62;4;Ian Holloway;Bloomfield Road;2010/2011
West Ham United;38;7;12;19;43;70;-27;33;18.42;73;5;Avram Grant;Upton Park;2010/2011
