EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Arsenal;38;26;9;3;79;36;43;87;68.42;57;2;Arsene Wenger;Highbury;2001/2002
Liverpool;38;24;8;6;67;30;37;80;63.16;58;3;Gerard Houllier;Anfield;2001/2002
Manchester United;38;24;5;9;87;45;42;77;63.16;60;4;Alex Ferguson;Old Trafford;2001/2002
Newcastle United;38;21;8;9;74;52;22;71;55.26;66;3;Bobby Robson;St James Park;2001/2002
Leeds United;38;18;12;8;53;37;16;66;47.37;70;5;David OLeary;Elland Road;2001/2002
Chelsea;38;17;13;8;66;38;28;64;44.74;69;3;Claudio Ranieri;Stamford Bridge;2001/2002
West Ham United;38;15;8;15;48;57;-9;53;39.47;68;4;Glenn Roeder;Upton Park;2001/2002
Aston Villa;38;12;14;12;46;47;-1;50;31.58;61;3;Graham Taylor;Villa Park;2001/2002
Tottenham Hotspur;38;14;8;16;49;53;-4;50;36.84;64;3;Glenn Hoddle;White Hart Lane;2001/2002
Blackburn Rovers;38;12;10;16;55;51;4;46;31.58;62;3;Graeme Souness;Ewood Park;2001/2002
Southampton;38;12;9;17;46;54;-8;45;31.58;65;3;Gordon Strachan;St Marys Stadium;2001/2002
Middlesbrough;38;12;9;17;35;47;-12;45;31.58;68;2;Steve McClaren;Riverside Stadium;2001/2002
Fulham;38;10;14;14;36;44;-8;44;26.32;63;2;Jean Tigana;Craven Cottage;2001/2002
Charlton Athletic;38;10;14;14;38;49;-11;44;26.32;59;3;Alan Curbishley;The Valley;2001/2002
Everton;38;11;10;17;45;57;-12;43;28.95;69;4;Walter Smith;Goodison Park;2001/2002
Bolton Wanderers;38;9;13;16;44;62;-18;40;23.68;72;3;Sam Allardyce;Reebok Stadium;2001/2002
Sunderland;38;10;10;18;29;51;-22;40;26.32;71;4;Peter Reid;Stadium of Light;2001/2002
Ipswich Town;38;9;9;20;41;64;-23;36;23.68;70;3;George Burley;Portman Road;2001/2002
Derby County;38;8;6;24;33;63;-30;30;21.05;74;4;John Gregory;Pride Park;2001/2002
Leicester City;38;5;13;20;30;64;-34;28;13.16;72;5;Dave Bassett;Filbert Street;2001/2002
