EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;28;5;5;86;43;43;89;73.68;62;4;Alex Ferguson;Old Trafford;2012/2013
Manchester City;38;23;9;6;66;34;32;78;60.53;68;5;Roberto Mancini;Etihad Stadium;2012/2013
Chelsea;38;22;9;7;75;39;36;75;57.89;64;4;Rafael Benitez;Stamford Bridge;2012/2013
Arsenal;38;21;10;7;72;37;35;73;55.26;66;4;Arsene Wenger;Emirates Stadium;2012/2013
Tottenham Hotspur;38;21;9;8;66;46;20;72;55.26;69;5;Andre VillasBoas;White Hart Lane;2012/2013
Everton;38;16;15;7;55;40;15;63;42.11;67;3;David Moyes;Goodison Park;2012/2013
Liverpool;38;16;13;9;71;43;28;61;42.11;70;5;Brendan Rodgers;Anfield;2012/2013
West Bromwich Albion;38;14;7;17;53;57;-4;49;36.84;72;3;Steve Clarke;The Hawthorns;2012/2013
Swansea City;38;11;13;14;47;51;-4;46;28.95;63;2;Michael Laudrup;Liberty Stadium;2012/2013
West Ham United;38;12;10;16;45;53;-8;46;31.58;71;5;Sam Allardyce;Upton Park;2012/2013
Norwich City;38;10;14;14;41;58;-17;44;26.32;69;5;Chris Hughton;Carrow Road;2012/2013
Fulham;38;11;10;17;50;60;-10;43;28.95;68;4;Martin Jol;Craven Cottage;2012/2013
Stoke City;38;9;15;14;34;45;-11;42;23.68;75;6;Tony Pulis;Britannia Stadium;2012/2013
Southampton;38;9;14;15;49;60;-11;41;23.68;70;4;Mauricio Pochettino;St Marys Stadium;2012/2013
Aston Villa;38;10;11;17;47;69;-22;41;26.32;67;5;Paul Lambert;Villa Park;2012/2013
Newcastle United;38;11;8;19;45;68;-23;41;28.95;73;6;Alan Pardew;St James Park;2012/2013
Sunderland;38;9;12;17;41;54;-13;39;23.68;74;6;Paolo Di Canio;Stadium of Light;2012/2013
Wigan Athletic;38;9;9;20;47;73;-26;36;23.68;77;7;Roberto Martinez;DW Stadium;2012/2013
Reading;38;6;10;22;43;73;-30;28;15.79;72;5;Nigel Adkins;Madejski Stadium;2012/2013
Queens Park Rangers;38;4;13;21;30;60;-30;25;10.53;70;8;Harry Redknapp;Loftus Road;2012/2013
