EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;29;6;3;99;26;73;93;76.32;46;2;Pep Guardiola;Etihad Stadium;2021/2022
Liverpool;38;28;8;2;94;26;68;92;73.68;50;1;Jurgen Klopp;Anfield;2021/2022
Chelsea;38;21;11;6;76;33;43;74;55.26;59;3;Thomas Tuchel;Stamford Bridge;2021/2022
Tottenham Hotspur;38;22;5;11;69;40;29;71;57.89;64;4;Antonio Conte;Tottenham Hotspur Stadium;2021/2022
Arsenal;38;22;3;13;61;48;13;69;57.89;57;3;Mikel Arteta;Emirates Stadium;2021/2022
Manchester United;38;16;10;12;57;57;0;58;42.11;65;4;Ralf Rangnick;Old Trafford;2021/2022
West Ham United;38;16;8;14;60;51;9;56;42.11;67;3;David Moyes;London Stadium;2021/2022
Leicester City;38;14;10;14;62;59;3;52;36.84;60;2;Brendan Rodgers;King Power Stadium;2021/2022
Brighton;38;12;15;11;42;44;-2;51;31.58;62;2;Graham Potter;Amex Stadium;2021/2022
Wolverhampton;38;15;6;17;38;43;-5;51;39.47;64;3;Bruno Lage;Molineux Stadium;2021/2022
Newcastle United;38;13;10;15;44;62;-18;49;34.21;70;4;Eddie Howe;St James Park;2021/2022
Crystal Palace;38;11;15;12;50;46;4;48;28.95;73;2;Patrick Vieira;Selhurst Park;2021/2022
Brentford;38;13;7;18;48;56;-8;46;34.21;65;3;Thomas Frank;Gtech Community Stadium;2021/2022
Aston Villa;38;13;6;19;52;54;-2;45;34.21;69;4;Steven Gerrard;Villa Park;2021/2022
Southampton;38;9;13;16;43;67;-24;40;23.68;71;5;Ralph Hasenhuttl;St Marys Stadium;2021/2022
Everton;38;11;6;21;43;66;-23;39;28.95;72;6;Frank Lampard;Goodison Park;2021/2022
Leeds United;38;9;11;18;42;79;-37;38;23.68;100;3;Jesse Marsch;Elland Road;2021/2022
Burnley;38;7;14;17;34;53;-19;35;18.42;71;3;Mike Jackson;Turf Moor;2021/2022
Watford;38;6;5;27;34;77;-43;23;15.79;67;5;Roy Hodgson;Vicarage Road;2021/2022
Norwich City;38;5;7;26;23;84;-61;22;13.16;59;3;Dean Smith;Carrow Road;2021/2022
