EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;27;6;5;80;22;58;87;71.05;60;3;Alex Ferguson;Old Trafford;2007/2008
Chelsea;38;25;10;3;65;26;39;85;65.79;63;3;Avram Grant;Stamford Bridge;2007/2008
Arsenal;38;24;11;3;74;31;43;83;63.16;59;2;Arsene Wenger;Emirates Stadium;2007/2008
Liverpool;38;21;13;4;67;28;39;76;55.26;64;4;Rafael Benitez;Anfield;2007/2008
Everton;38;19;8;11;55;33;22;65;50.00;68;5;David Moyes;Goodison Park;2007/2008
Aston Villa;38;16;12;10;71;51;20;60;42.11;62;3;Martin ONeill;Villa Park;2007/2008
Blackburn Rovers;38;15;13;10;50;48;2;58;39.47;71;5;Mark Hughes;Ewood Park;2007/2008
Portsmouth;38;16;9;13;57;40;17;57;42.11;69;4;Harry Redknapp;Fratton Park;2007/2008
Manchester City;38;15;10;13;45;53;-8;55;39.47;73;6;Sven Goran Eriksson;City of Manchester Stadium;2007/2008
West Ham United;38;13;10;15;42;50;-8;49;34.21;70;5;Alan Curbishley;Upton Park;2007/2008
Tottenham Hotspur;38;11;13;14;66;61;5;46;28.95;72;5;Juande Ramos;White Hart Lane;2007/2008
Newcastle United;38;11;10;17;45;65;-20;43;28.95;75;6;Kevin Keegan;St James Park;2007/2008
Middlesbrough;38;10;12;16;43;53;-10;42;26.32;69;3;Gareth Southgate;Riverside Stadium;2007/2008
Wigan Athletic;38;10;10;18;34;51;-17;40;26.32;67;5;Steve Bruce;JJB Stadium;2007/2008
Sunderland;38;11;6;21;36;59;-23;39;28.95;72;4;Roy Keane;Stadium of Light;2007/2008
Bolton Wanderers;38;9;10;19;36;54;-18;37;23.68;73;5;Gary Megson;Reebok Stadium;2007/2008
Fulham;38;8;10;20;38;60;-22;34;21.05;69;4;Roy Hodgson;Craven Cottage;2007/2008
Reading;38;10;6;22;41;66;-25;36;26.32;74;5;Steve Coppell;Madejski Stadium;2007/2008
Birmingham City;38;8;11;19;46;62;-16;35;21.05;70;5;Alex McLeish;St Andrews;2007/2008
Derby County;38;1;8;29;20;89;-69;11;2.63;66;5;Paul Jewell;Pride Park Stadium;2007/2008
