EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;25;8;5;74;34;40;83;65.79;61;3;Alex Ferguson;Old Trafford;2002/2003
Arsenal;38;23;9;6;85;42;43;78;60.53;52;3;Arsene Wenger;Highbury;2002/2003
Newcastle United;38;21;6;11;63;48;15;69;55.26;66;4;Bobby Robson;St James Park;2002/2003
Chelsea;38;19;10;9;68;38;30;67;50.00;65;3;Claudio Ranieri;Stamford Bridge;2002/2003
Liverpool;38;18;10;10;61;41;20;64;47.37;63;3;Gerard Houllier;Anfield;2002/2003
Blackburn Rovers;38;16;12;10;52;43;9;60;42.11;68;4;Graeme Souness;Ewood Park;2002/2003
Everton;38;17;8;13;48;49;-1;59;44.74;71;5;David Moyes;Goodison Park;2002/2003
Southampton;38;13;13;12;43;46;-3;52;34.21;69;3;Gordon Strachan;St Marys Stadium;2002/2003
Manchester City;38;15;3;20;47;54;-7;48;39.47;70;4;Kevin Keegan;Maine Road;2002/2003
Tottenham Hotspur;38;14;8;16;51;62;-11;50;36.84;67;3;Glenn Hoddle;White Hart Lane;2002/2003
Middlesbrough;38;13;9;16;48;44;4;48;34.21;68;4;Steve McClaren;Riverside Stadium;2002/2003
Charlton Athletic;38;14;8;16;45;59;-14;50;36.84;65;3;Alan Curbishley;The Valley;2002/2003
Birmingham City;38;13;9;16;41;49;-8;48;34.21;73;5;Steve Bruce;St Andrews;2002/2003
Fulham;38;13;9;16;41;50;-9;48;34.21;71;3;Chris Coleman;Craven Cottage;2002/2003
Leeds United;38;14;4;20;58;57;1;46;36.84;69;4;Terry Venables;Elland Road;2002/2003
Aston Villa;38;12;9;17;42;47;-5;45;31.58;68;3;Graham Taylor;Villa Park;2002/2003
Bolton Wanderers;38;10;14;14;41;51;-10;44;26.32;76;6;Sam Allardyce;Reebok Stadium;2002/2003
West Ham United;38;10;12;16;42;59;-17;42;26.32;71;5;Glenn Roeder;Upton Park;2002/2003
West Bromwich Albion;38;6;8;24;29;65;-36;26;15.79;74;5;Gary Megson;The Hawthorns;2002/2003
Sunderland;38;4;7;27;21;65;-44;19;10.53;72;4;Howard Wilkinson;Stadium of Light;2002/2003
;;;;;;;;;;;;;;
