EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;24;8;6;79;31;48;80;63.16;44;3;Alex Ferguson;Old Trafford;2000/2001
Arsenal;38;20;10;8;63;38;25;70;52.63;46;3;Arsene Wenger;Highbury;2000/2001
Liverpool;38;20;9;9;71;39;32;69;52.63;51;4;Gerard Houllier;Anfield;2000/2001
Leeds United;38;20;8;10;64;43;21;68;52.63;73;3;David OLeary;Elland Road;2000/2001
Ipswich Town;38;20;6;12;57;42;15;66;52.63;32;2;George Burley;Portman Road;2000/2001
Chelsea;38;17;10;11;68;45;23;61;44.74;70;2;Claudio Ranieri;Stamford Bridge;2000/2001
Sunderland;38;15;12;11;46;41;5;57;39.47;72;6;Peter Reid;Stadium of Light;2000/2001
Aston Villa;38;13;15;10;46;43;3;54;34.21;64;2;John Gregory;Villa Park;2000/2001
Charlton Athletic;38;14;10;14;50;57;-7;52;36.84;47;3;Alan Curbishley;The Valley;2000/2001
Southampton;38;14;10;14;40;48;-8;52;36.84;49;1;Glenn Hoddle;The Dell;2000/2001
Newcastle United;38;14;9;15;44;50;-6;51;36.84;49;4;Bobby Robson;St James Park;2000/2001
Tottenham Hotspur;38;13;10;15;47;54;-7;49;34.21;47;3;George Graham;White Hart Lane;2000/2001
Leicester City;38;14;6;18;39;51;-12;48;36.84;59;2;Peter Taylor;Filbert Street;2000/2001
Middlesbrough;38;9;15;14;44;44;0;42;23.68;75;6;Terry Venables;Riverside Stadium;2000/2001
West Ham United;38;10;12;16;45;50;-5;42;26.32;68;2;Harry Redknapp;Upton Park;2000/2001
Everton;38;11;9;18;45;59;-14;42;28.95;78;4;Walter Smith;Goodison Park;2000/2001
Derby County;38;10;12;16;37;59;-22;42;26.32;79;3;Jim Smith;Pride Park;2000/2001
Manchester City;38;8;10;20;41;65;-24;34;21.05;67;3;Joe Royle;Maine Road;2000/2001
Coventry City;38;8;10;20;36;63;-27;34;21.05;74;4;Gordon Strachan;Highfield Road;2000/2001
Bradford City;38;5;11;22;30;70;-40;26;13.16;56;1;Jim Jefferies;Valley Parade;2000/2001
