EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;28;5;5;94;33;61;89;73.68;44;2;Pep Guardiola;Etihad Stadium;2022/2023
Arsenal;38;26;6;6;88;43;45;84;68.42;52;1;Mikel Arteta;Emirates Stadium;2022/2023
Manchester United;38;23;6;9;58;43;15;75;60.53;78;3;Erik ten Hag;Old Trafford;2022/2023
Newcastle United;38;19;14;5;68;33;35;71;50.00;66;4;Eddie Howe;St James Park;2022/2023
Liverpool;38;19;10;9;75;47;28;67;50.00;58;3;Jurgen Klopp;Anfield;2022/2023
Brighton;38;18;8;12;72;53;19;62;47.37;59;5;Roberto De Zerbi;Amex Stadium;2022/2023
Aston Villa;38;18;7;13;51;46;5;61;47.37;72;2;Unai Emery;Villa Park;2022/2023
Tottenham Hotspur;38;18;6;14;70;63;7;60;47.37;67;4;Ryan Mason;Tottenham Hotspur Stadium;2022/2023
Brentford;38;15;14;9;58;46;12;59;39.47;62;3;Thomas Frank;Gtech Community Stadium;2022/2023
Fulham;38;15;7;16;55;53;2;52;39.47;72;6;Marco Silva;Craven Cottage;2022/2023
Crystal Palace;38;11;12;15;40;49;-9;45;28.95;63;4;Roy Hodgson;Selhurst Park;2022/2023
Chelsea;38;11;11;16;38;47;-9;44;28.95;77;3;Frank Lampard;Stamford Bridge;2022/2023
Wolverhampton;38;11;8;19;31;58;-27;41;28.95;78;6;Julen Lopetegui;Molineux Stadium;2022/2023
West Ham United;38;11;7;20;42;55;-13;40;28.95;68;5;David Moyes;London Stadium;2022/2023
Bournemouth;38;11;6;21;37;71;-34;39;28.95;73;4;Gary ONeil;Vitality Stadium;2022/2023
Nottingham Forest;38;9;11;18;38;68;-30;38;23.68;79;3;Steve Cooper;City Ground;2022/2023
Everton;38;8;12;18;34;57;-23;36;21.05;75;4;Sean Dyche;Goodison Park;2022/2023
Leicester City;38;9;7;22;51;68;-17;34;23.68;67;4;Dean Smith;King Power Stadium;2022/2023
Leeds United;38;7;10;21;48;78;-30;31;18.42;84;5;Sam Allardyce;Elland Road;2022/2023
Southampton;38;6;7;25;36;73;-37;25;15.79;69;3;Ruben Selles;St Marys Stadium;2022/2023
