EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Liverpool;38;32;3;3;85;33;52;99;84.21;49;1;Jurgen Klopp;Anfield;2019/2020
Manchester City;38;26;3;9;102;35;67;81;68.42;60;3;Pep Guardiola;Etihad Stadium;2019/2020
Manchester United;38;18;12;8;66;36;30;66;47.37;72;4;Ole Gunnar Solskjaer;Old Trafford;2019/2020
Chelsea;38;20;6;12;69;54;15;66;52.63;69;2;Frank Lampard;Stamford Bridge;2019/2020
Leicester City;38;18;8;12;67;41;26;62;47.37;55;2;Brendan Rodgers;King Power Stadium;2019/2020
Tottenham Hotspur;38;16;11;11;61;47;14;59;42.11;70;4;Jose Mourinho;Tottenham Hotspur Stadium;2019/2020
Wolverhampton;38;15;14;9;51;40;11;59;39.47;74;3;Nuno Espirito Santo;Molineux Stadium;2019/2020
Arsenal;38;14;14;10;56;48;8;56;36.84;86;5;Mikel Arteta;Emirates Stadium;2019/2020
Sheffield United;38;14;12;12;39;39;0;54;36.84;64;2;Chris Wilder;Bramall Lane;2019/2020
Burnley;38;15;9;14;43;50;-7;54;39.47;57;2;Sean Dyche;Turf Moor;2019/2020
Southampton;38;15;7;16;51;60;-9;52;39.47;68;4;Ralph Hasenhuttl;St Marys Stadium;2019/2020
Everton;38;13;10;15;44;56;-12;49;34.21;69;3;Carlo Ancelotti;Goodison Park;2019/2020
Newcastle United;38;11;11;16;38;58;-20;44;28.95;65;4;Steve Bruce;St James Park;2019/2020
Crystal Palace;38;11;10;17;31;50;-19;43;28.95;72;3;Roy Hodgson;Selhurst Park;2019/2020
Brighton;38;9;14;15;39;54;-15;41;23.68;64;2;Graham Potter;Amex Stadium;2019/2020
West Ham United;38;10;9;19;49;62;-13;39;26.32;70;5;David Moyes;London Stadium;2019/2020
Aston Villa;38;9;8;21;41;67;-26;35;23.68;78;3;Dean Smith;Villa Park;2019/2020
Bournemouth;38;9;7;22;40;65;-25;34;23.68;65;4;Eddie Howe;Vitality Stadium;2019/2020
Watford;38;8;10;20;36;64;-28;34;21.05;73;4;Nigel Pearson;Vicarage Road;2019/2020
Norwich City;38;5;6;27;26;75;-49;21;13.16;62;2;Daniel Farke;Carrow Road;
