EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;28;5;5;93;29;64;89;73.68;63;5;Roberto Mancini;Etihad Stadium;2011/2012
Manchester United;38;28;5;5;89;33;56;89;73.68;62;3;Alex Ferguson;Old Trafford;2011/2012
Arsenal;38;21;7;10;74;49;25;70;55.26;65;4;Arsene Wenger;Emirates Stadium;2011/2012
Tottenham Hotspur;38;20;9;9;66;41;25;69;52.63;68;4;Harry Redknapp;White Hart Lane;2011/2012
Newcastle United;38;19;8;11;56;51;5;65;50.00;71;5;Alan Pardew;St James Park;2011/2012
Chelsea;38;18;10;10;65;46;19;64;47.37;67;5;Roberto Di Matteo;Stamford Bridge;2011/2012
Everton;38;15;11;12;50;40;10;56;39.47;64;3;David Moyes;Goodison Park;2011/2012
Liverpool;38;14;10;14;47;40;7;52;36.84;63;4;Kenny Dalglish;Anfield;2011/2012
Fulham;38;14;10;14;48;51;-3;52;36.84;62;3;Martin Jol;Craven Cottage;2011/2012
West Bromwich Albion;38;13;8;17;45;52;-7;47;34.21;70;4;Roy Hodgson;The Hawthorns;2011/2012
Swansea City;38;12;11;15;44;51;-7;47;31.58;65;2;Brendan Rodgers;Liberty Stadium;2011/2012
Norwich City;38;12;11;15;52;66;-14;47;31.58;68;3;Paul Lambert;Carrow Road;2011/2012
Sunderland;38;11;12;15;45;46;-1;45;28.95;67;4;Martin ONeill;Stadium of Light;2011/2012
Stoke City;38;11;12;15;36;53;-17;45;28.95;74;5;Tony Pulis;Britannia Stadium;2011/2012
Wigan Athletic;38;11;10;17;42;62;-20;43;28.95;70;6;Roberto Martinez;DW Stadium;2011/2012
Aston Villa;38;7;17;14;37;53;-16;38;18.42;66;4;Alex McLeish;Villa Park;2011/2012
Queens Park Rangers;38;10;7;21;43;66;-23;37;26.32;71;9;Mark Hughes;Loftus Road;2011/2012
Bolton Wanderers;38;10;6;22;46;77;-31;36;26.32;73;6;Owen Coyle;Reebok Stadium;2011/2012
Blackburn Rovers;38;8;7;23;48;78;-30;31;21.05;76;5;Steve Kean;Ewood Park;2011/2012
Wolverhampton Wanderers;38;5;10;23;40;82;-42;25;13.16;75;7;Terry Connor;Molineux Stadium;2011/2012
