EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;28;6;4;68;24;44;90;73.68;64;4;Alex Ferguson;Old Trafford;2008/2009
Liverpool;38;25;11;2;77;27;50;86;65.79;61;3;Rafael Benitez;Anfield;2008/2009
Chelsea;38;25;8;5;68;24;44;83;65.79;59;3;Guus Hiddink;Stamford Bridge;2008/2009
Arsenal;38;20;12;6;68;37;31;72;52.63;57;2;Arsene Wenger;Emirates Stadium;2008/2009
Everton;38;17;12;9;55;37;18;63;44.74;65;4;David Moyes;Goodison Park;2008/2009
Aston Villa;38;17;11;10;54;48;6;62;44.74;62;4;Martin ONeill;Villa Park;2008/2009
Fulham;38;14;11;13;39;34;5;53;36.84;59;2;Roy Hodgson;Craven Cottage;2008/2009
Tottenham Hotspur;38;14;9;15;45;45;0;51;36.84;70;4;Harry Redknapp;White Hart Lane;2008/2009
West Ham United;38;14;9;15;42;45;-3;51;36.84;72;5;Gianfranco Zola;Upton Park;2008/2009
Manchester City;38;15;5;18;58;50;8;50;39.47;68;5;Mark Hughes;City of Manchester Stadium;2008/2009
Wigan Athletic;38;12;9;17;34;45;-11;45;31.58;69;5;Steve Bruce;JJB Stadium;2008/2009
Stoke City;38;12;9;17;38;55;-17;45;31.58;71;6;Tony Pulis;Britannia Stadium;2008/2009
Bolton Wanderers;38;11;8;19;41;53;-12;41;28.95;74;6;Gary Megson;Reebok Stadium;2008/2009
Portsmouth;38;10;11;17;38;57;-19;41;26.32;72;6;Paul Hart;Fratton Park;2008/2009
Blackburn Rovers;38;10;11;17;40;60;-20;41;26.32;75;5;Sam Allardyce;Ewood Park;2008/2009
Sunderland;38;9;9;20;34;54;-20;36;23.68;73;6;Ricky Sbragia;Stadium of Light;2008/2009
Hull City;38;8;11;19;39;64;-25;35;21.05;71;5;Phil Brown;KC Stadium;2008/2009
Newcastle United;38;7;13;18;40;59;-19;34;18.42;70;6;Alan Shearer;St James Park;2008/2009
Middlesbrough;38;7;11;20;28;57;-29;32;18.42;68;5;Gareth Southgate;Riverside Stadium;2008/2009
West Bromwich Albion;38;8;8;22;36;67;-31;32;21.05;66;5;Tony Mowbray;The Hawthorns;2008/2009
