EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Chelsea;38;27;5;6;103;32;71;86;71.05;64;3;Carlo Ancelotti;Stamford Bridge;2009/2010
Manchester United;38;27;4;7;86;28;58;85;71.05;59;2;Alex Ferguson;Old Trafford;2009/2010
Arsenal;38;23;6;9;83;41;42;75;60.53;61;4;Arsene Wenger;Emirates Stadium;2009/2010
Tottenham Hotspur;38;21;7;10;67;41;26;70;55.26;65;4;Harry Redknapp;White Hart Lane;2009/2010
Manchester City;38;18;13;7;73;45;28;67;47.37;68;5;Roberto Mancini;City of Manchester Stadium;2009/2010
Aston Villa;38;17;13;8;52;39;13;64;44.74;66;4;Martin ONeill;Villa Park;2009/2010
Liverpool;38;18;9;11;61;35;26;63;47.37;63;3;Rafael Benitez;Anfield;2009/2010
Everton;38;16;13;9;60;49;11;61;42.11;64;4;David Moyes;Goodison Park;2009/2010
Birmingham City;38;13;11;14;38;47;-9;50;34.21;70;6;Alex McLeish;St Andrews;2009/2010
Blackburn Rovers;38;13;11;14;41;55;-14;50;34.21;72;5;Sam Allardyce;Ewood Park;2009/2010
Stoke City;38;11;14;13;34;48;-14;47;28.95;75;6;Tony Pulis;Britannia Stadium;2009/2010
Fulham;38;12;10;16;39;46;-7;46;31.58;62;3;Roy Hodgson;Craven Cottage;2009/2010
Sunderland;38;11;11;16;48;56;-8;44;28.95;73;6;Steve Bruce;Stadium of Light;2009/2010
Bolton Wanderers;38;10;9;19;42;67;-25;39;26.32;70;6;Owen Coyle;Reebok Stadium;2009/2010
Wolverhampton Wanderers;38;9;11;18;32;56;-24;38;23.68;71;5;Mick McCarthy;Molineux Stadium;2009/2010
Wigan Athletic;38;9;9;20;37;79;-42;36;23.68;72;5;Roberto Martinez;DW Stadium;2009/2010
West Ham United;38;8;11;19;47;66;-19;35;21.05;70;6;Gianfranco Zola;Upton Park;2009/2010
Burnley;38;8;6;24;42;82;-40;30;21.05;68;4;Brian Laws;Turf Moor;2009/2010
Hull City;38;6;12;20;34;75;-41;30;15.79;69;5;Phil Brown;KC Stadium;2009/2010
Portsmouth;38;7;7;24;34;66;-32;28;18.42;71;7;Avram Grant;Fratton Park;2009/2010
