EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester United;38;28;5;5;83;27;56;89;73.68;63;3;Alex Ferguson;Old Trafford;2006/2007
Chelsea;38;24;11;3;64;24;40;83;63.16;60;2;Jose Mourinho;Stamford Bridge;2006/2007
Liverpool;38;20;8;10;57;27;30;68;52.63;62;4;Rafael Benitez;Anfield;2006/2007
Arsenal;38;19;11;8;63;35;28;68;50.00;58;3;Arsene Wenger;Emirates Stadium;2006/2007
Tottenham Hotspur;38;17;9;12;57;54;3;60;44.74;69;4;Martin Jol;White Hart Lane;2006/2007
Everton;38;15;13;10;52;36;16;58;39.47;65;3;David Moyes;Goodison Park;2006/2007
Bolton Wanderers;38;16;8;14;47;52;-5;56;42.11;71;5;Sam Allardyce;Reebok Stadium;2006/2007
Reading;38;16;7;15;52;47;5;55;42.11;67;4;Steve Coppell;Madejski Stadium;2006/2007
Portsmouth;38;14;12;12;45;42;3;54;36.84;70;5;Harry Redknapp;Fratton Park;2006/2007
Blackburn Rovers;38;15;7;16;52;54;-2;52;39.47;73;4;Mark Hughes;Ewood Park;2006/2007
Aston Villa;38;11;17;10;43;41;2;50;28.95;68;4;Martin ONeill;Villa Park;2006/2007
Middlesbrough;38;12;10;16;44;49;-5;46;31.58;74;4;Gareth Southgate;Riverside Stadium;2006/2007
Newcastle United;38;11;10;17;38;47;-9;43;28.95;75;5;Glenn Roeder;St James Park;2006/2007
Manchester City;38;11;9;18;29;44;-15;42;28.95;72;3;Stuart Pearce;City of Manchester Stadium;2006/2007
West Ham United;38;12;5;21;35;59;-24;41;31.58;69;6;Alan Curbishley;Upton Park;2006/2007
Fulham;38;8;15;15;38;60;-22;39;21.05;76;5;Lawrie Sanchez;Craven Cottage;2006/2007
Wigan Athletic;38;10;8;20;37;59;-22;38;26.32;70;5;Paul Jewell;JJB Stadium;2006/2007
Sheffield United;38;10;8;20;32;55;-23;38;26.32;77;6;Neil Warnock;Bramall Lane;2006/2007
Charlton Athletic;38;8;10;20;34;60;-26;34;21.05;74;6;Alan Pardew;The Valley;2006/2007
Watford;38;5;13;20;29;59;-30;28;13.16;72;4;Aidy Boothroyd;Vicarage Road;2006/2007
