EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Chelsea;38;30;3;5;85;33;52;93;78.95;73;3;Antonio Conte;Stamford Bridge;2016/2017
Tottenham Hotspur;38;26;8;4;86;26;60;86;68.42;66;4;Mauricio Pochettino;White Hart Lane;2016/2017
Manchester City;38;23;9;6;80;39;41;78;60.53;71;3;Pep Guardiola;Etihad Stadium;2016/2017
Liverpool;38;22;10;6;78;42;36;76;57.89;68;2;Jurgen Klopp;Anfield;2016/2017
Arsenal;38;23;6;9;77;44;33;75;60.53;70;4;Arsene Wenger;Emirates Stadium;2016/2017
Manchester United;38;18;15;5;54;29;25;69;47.37;65;3;Jose Mourinho;Old Trafford;2016/2017
Everton;38;17;10;11;62;44;18;61;44.74;67;4;Ronald Koeman;Goodison Park;2016/2017
Southampton;38;12;10;16;41;48;-7;46;31.58;69;5;Claude Puel;St Marys Stadium;2016/2017
Bournemouth;38;12;10;16;55;67;-12;46;31.58;70;4;Eddie Howe;Vitality Stadium;2016/2017
West Bromwich Albion;38;12;9;17;43;51;-8;45;31.58;72;3;Tony Pulis;The Hawthorns;2016/2017
West Ham United;38;12;9;17;47;64;-17;45;31.58;74;6;Slaven Bilic;London Stadium;2016/2017
Leicester City;38;12;8;18;48;63;-15;44;31.58;71;5;Craig Shakespeare;King Power Stadium;2016/2017
Stoke City;38;11;11;16;41;56;-15;44;28.95;75;4;Mark Hughes;bet365 Stadium;2016/2017
Crystal Palace;38;12;5;21;50;63;-13;41;31.58;70;5;Sam Allardyce;Selhurst Park;2016/2017
Swansea City;38;12;5;21;45;70;-25;41;31.58;69;4;Paul Clement;Liberty Stadium;2016/2017
Burnley;38;11;7;20;39;55;-16;40;28.95;68;3;Sean Dyche;Turf Moor;2016/2017
Watford;38;11;7;20;40;68;-28;40;28.95;76;5;Walter Mazzarri;Vicarage Road;2016/2017
Hull City;38;9;7;22;37;80;-43;34;23.68;70;5;Marco Silva;KCOM Stadium;2016/2017
Middlesbrough;38;5;13;20;27;53;-26;28;13.16;73;3;Steve Agnew;Riverside Stadium;2016/2017
Sunderland;38;6;6;26;29;69;-40;24;15.79;74;4;David Moyes;Stadium of Light;2016/2017
;;;;;;;;;;;;;;2016/2017
