EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Chelsea;38;26;9;3;73;32;41;87;68.42;73;3;Jose Mourinho;Stamford Bridge;2014/2015
Manchester City;38;24;7;7;83;38;45;79;63.16;70;4;Manuel Pellegrini;Etihad Stadium;2014/2015
Arsenal;38;22;9;7;71;36;35;75;57.89;69;4;Arsene Wenger;Emirates Stadium;2014/2015
Manchester United;38;20;10;8;62;37;25;70;52.63;66;3;Louis van Gaal;Old Trafford;2014/2015
Tottenham Hotspur;38;19;7;12;58;53;5;64;50.00;68;4;Mauricio Pochettino;White Hart Lane;2014/2015
Liverpool;38;18;8;12;52;48;4;62;47.37;72;4;Brendan Rodgers;Anfield;2014/2015
Southampton;38;18;6;14;54;33;21;60;47.37;65;3;Ronald Koeman;St Marys Stadium;2014/2015
Swansea City;38;16;8;14;46;49;-3;56;42.11;67;4;Garry Monk;Liberty Stadium;2014/2015
Stoke City;38;15;9;14;48;45;3;54;39.47;69;4;Mark Hughes;Britannia Stadium;2014/2015
Crystal Palace;38;13;9;16;47;51;-4;48;34.21;70;5;Alan Pardew;Selhurst Park;2014/2015
Everton;38;12;11;15;48;50;-2;47;31.58;68;4;Roberto Martinez;Goodison Park;2014/2015
West Ham United;38;12;11;15;44;47;-3;47;31.58;72;5;Sam Allardyce;Upton Park;2014/2015
West Bromwich Albion;38;11;11;16;38;51;-13;44;28.95;73;4;Tony Pulis;The Hawthorns;2014/2015
Leicester City;38;11;8;19;46;55;-9;41;28.95;70;4;Nigel Pearson;King Power Stadium;2014/2015
Newcastle United;38;10;9;19;40;63;-23;39;26.32;74;6;John Carver;St James Park;2014/2015
Sunderland;38;7;17;14;31;53;-22;38;18.42;75;5;Dick Advocaat;Stadium of Light;2014/2015
Aston Villa;38;10;8;20;31;57;-26;38;26.32;73;5;Tim Sherwood;Villa Park;2014/2015
Hull City;38;8;11;19;33;51;-18;35;21.05;69;4;Steve Bruce;KC Stadium;2014/2015
Burnley;38;7;12;19;28;53;-25;33;18.42;68;3;Sean Dyche;Turf Moor;2014/2015
Queens Park Rangers;38;8;6;24;42;73;-31;30;21.05;71;5;Chris Ramsey;Loftus Road;2014/2015
