EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Chelsea;38;29;8;1;72;15;57;95;76.32;60;3;Jose Mourinho;Stamford Bridge;2004/2005
Arsenal;38;25;8;5;87;36;51;83;65.79;58;2;Arsene Wenger;Highbury;2004/2005
Manchester United;38;22;11;5;58;26;32;77;57.89;63;4;Alex Ferguson;Old Trafford;2004/2005
Everton;38;18;7;13;45;46;-1;61;47.37;71;4;David Moyes;Goodison Park;2004/2005
Liverpool;38;17;7;14;52;41;11;58;44.74;64;3;Rafael Benitez;Anfield;2004/2005
Bolton Wanderers;38;16;10;12;49;44;5;58;42.11;74;5;Sam Allardyce;Reebok Stadium;2004/2005
Middlesbrough;38;14;13;11;53;46;7;55;36.84;70;3;Steve McClaren;Riverside Stadium;2004/2005
Manchester City;38;13;13;12;47;39;8;52;34.21;67;3;Stuart Pearce;City of Manchester Stadium;2004/2005
Tottenham Hotspur;38;14;10;14;47;41;6;52;36.84;62;3;Martin Jol;White Hart Lane;2004/2005
Aston Villa;38;12;11;15;45;52;-7;47;31.58;64;2;David OLeary;Villa Park;2004/2005
Charlton Athletic;38;13;10;15;42;58;-16;49;34.21;69;4;Alan Curbishley;The Valley;2004/2005
Birmingham City;38;11;12;15;40;46;-6;45;28.95;72;5;Steve Bruce;St Andrews;2004/2005
Fulham;38;12;8;18;52;60;-8;44;31.58;73;4;Chris Coleman;Craven Cottage;2004/2005
Newcastle United;38;10;14;14;47;57;-10;44;26.32;80;6;Graeme Souness;St James Park;2004/2005
Blackburn Rovers;38;9;15;14;32;43;-11;42;23.68;77;4;Mark Hughes;Ewood Park;2004/2005
Portsmouth;38;10;9;19;43;59;-16;39;26.32;69;5;Alain Perrin;Fratton Park;2004/2005
West Bromwich Albion;38;6;16;16;36;61;-25;34;15.79;74;6;Bryan Robson;The Hawthorns;2004/2005
Crystal Palace;38;7;12;19;41;62;-21;33;18.42;70;5;Iain Dowie;Selhurst Park;2004/2005
Norwich City;38;7;12;19;42;77;-35;33;18.42;68;5;Nigel Worthington;Carrow Road;2004/2005
Southampton;38;6;14;18;45;66;-21;32;15.79;73;4;Harry Redknapp;St Marys Stadium;2004/2005
