EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;28;7;3;96;34;62;91;73.68;52;2;Pep Guardiola;Etihad Stadium;2022/2023
Arsenal;38;28;5;5;91;29;62;89;73.68;62;2;Mikel Arteta;Emirates Stadium;2022/2023
Liverpool;38;24;10;4;86;41;45;82;63.15;65;5;Jurgen Klopp;Anfield;2022/2023
Aston Villa;38;20;8;10;76;61;15;68;52.63;94;2;Unai Emery;Villa Park;2022/2023
Tottenham Hotspur;38;20;6;12;74;61;13;66;52.63;89;4;Antonio Conte;Tottenham Hotspur Stadium;2022/2023
Chelsea;38;18;9;11;77;63;14;63;47.36;105;4;Graham Potter;Stamford Bridge;2022/2023
Newcastle United;38;18;6;14;85;62;23;60;47.36;77;1;Eddie Howe;St James Park;2022/2023
Manchester United;38;18;6;14;57;58;-1;60;47.36;81;1;Erik Ten Hag;Old Trafford;2022/2023
West Ham United;38;14;10;14;59;74;-15;52;36.84;76;3;David Moyes;London Stadium;2022/2023
Crystal Palace;38;13;10;15;57;58;-1;49;34.21;69;2;Patrick Vieira;Selhurst Park;2022/2023
Brighton and Hove Albion;38;12;12;14;55;62;-7;48;31.57;91;3;Roberto De Zerbi;Amex Stadium;2022/2023
Bournemouth;38;13;9;16;54;67;-13;48;34.21;79;3;Gary O Neil;Vitality Stadium;2022/2023
Fulham;38;13;8;17;55;61;-6;47;34.21;78;4;Marco Silva;Craven Cottage;2022/2023
Wolverhampton Wanderers;38;13;7;18;50;65;-15;46;34.21;100;4;Julen Lopetegui;Molineux Stadium;2022/2023
Everton;38;13;9;16;40;51;-11;40;34.21;80;1;Sean Dyche;Goodison Park;2022/2023
Brentford;38;10;9;19;56;65;-9;39;26.31;89;2;Thomas Frank;Gtech Community Stadium;2022/2023
Nottingham Forest;38;9;9;20;49;67;-18;36;23.68;78;3;Steve Cooper;City Ground;2022/2023
Luton Town;38;8;8;22;52;85;-33;32;21.05;71;0;Rob Edwards;Kenilworth Road;2022/2023
Burnley;38;5;9;24;41;78;-37;24;13.15;71;7;Vincente Company;Turf Moor;2022/2023
Sheffield United;38;3;7;28;35;104;-69;16;7.89;95;5;Paul Heckingbottom;Bramall Lane;2022/2023
