EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;32;4;2;106;27;79;100;84.21;68;3;Pep Guardiola;Etihad Stadium;2017/2018
Manchester United;38;25;6;7;68;28;40;81;65.79;64;2;Jose Mourinho;Old Trafford;2017/2018
Tottenham Hotspur;38;23;8;7;74;36;38;77;60.53;67;3;Mauricio Pochettino;Wembley Stadium;2017/2018
Liverpool;38;21;12;5;84;38;46;75;55.26;68;3;Jurgen Klopp;Anfield;2017/2018
Chelsea;38;21;7;10;62;38;24;70;55.26;71;4;Antonio Conte;Stamford Bridge;2017/2018
Arsenal;38;19;6;13;74;51;23;63;50.00;70;3;Arsene Wenger;Emirates Stadium;2017/2018
Burnley;38;14;12;12;36;39;-3;54;36.84;65;2;Sean Dyche;Turf Moor;2017/2018
Everton;38;13;10;15;44;58;-14;49;34.21;70;5;Sam Allardyce;Goodison Park;2017/2018
Leicester City;38;12;11;15;56;60;-4;47;31.58;72;4;Claude Puel;King Power Stadium;2017/2018
Newcastle United;38;12;8;18;39;47;-8;44;31.58;71;5;Rafael Benitez;St James Park;2017/2018
Crystal Palace;38;11;11;16;45;55;-10;44;28.95;74;3;Roy Hodgson;Selhurst Park;2017/2018
Bournemouth;38;11;11;16;45;61;-16;44;28.95;69;4;Eddie Howe;Vitality Stadium;2017/2018
West Ham United;38;10;12;16;48;68;-20;42;26.32;73;5;David Moyes;London Stadium;2017/2018
Watford;38;11;8;19;44;64;-20;41;28.95;76;4;Javi Gracia;Vicarage Road;2017/2018
Brighton;38;9;13;16;34;54;-20;40;23.68;69;4;Chris Hughton;Amex Stadium;2017/2018
Huddersfield Town;38;9;10;19;28;58;-30;37;23.68;68;3;David Wagner;John Smiths Stadium;2017/2018
Southampton;38;7;15;16;37;56;-19;36;18.42;72;5;Mark Hughes;St Marys Stadium;2017/2018
Swansea City;38;8;9;21;28;56;-28;33;21.05;71;5;Carlos Carvalhal;Liberty Stadium;2017/2018
Stoke City;38;7;12;19;35;68;-33;33;18.42;74;4;Paul Lambert;bet365 Stadium;2017/2018
West Bromwich Albion;38;6;13;19;31;56;-25;31;15.79;73;4;Darren Moore;The Hawthorns;2017/2018
