EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Leicester City;38;23;12;3;68;36;32;81;60.53;59;3;Claudio Ranieri;King Power Stadium;2015/2016
Arsenal;38;20;11;7;65;36;29;71;52.63;66;2;Arsene Wenger;Emirates Stadium;2015/2016
Tottenham Hotspur;38;19;13;6;69;35;34;70;50.00;63;4;Mauricio Pochettino;White Hart Lane;2015/2016
Manchester City;38;19;9;10;71;41;30;66;50.00;71;4;Manuel Pellegrini;Etihad Stadium;2015/2016
Manchester United;38;19;9;10;49;35;14;66;50.00;64;3;Louis van Gaal;Old Trafford;2015/2016
Southampton;38;18;9;11;59;41;18;63;47.37;67;2;Ronald Koeman;St Marys Stadium;2015/2016
West Ham United;38;16;14;8;65;51;14;62;42.11;72;4;Slaven Bilic;Boleyn Ground;2015/2016
Liverpool;38;16;12;10;63;50;13;60;42.11;68;4;Jurgen Klopp;Anfield;2015/2016
Stoke City;38;14;9;15;41;55;-14;51;36.84;70;3;Mark Hughes;Britannia Stadium;2015/2016
Chelsea;38;12;14;12;59;53;6;50;31.58;73;4;Guus Hiddink;Stamford Bridge;2015/2016
Everton;38;11;14;13;59;55;4;47;28.95;76;5;Roberto Martinez;Goodison Park;2015/2016
Swansea City;38;12;11;15;42;52;-10;47;31.58;70;2;Francesco Guidolin;Liberty Stadium;2015/2016
Watford;38;12;9;17;40;50;-10;45;31.58;68;4;Quique Sanchez Flores;Vicarage Road;2015/2016
West Bromwich Albion;38;10;13;15;34;48;-14;43;26.32;67;2;Tony Pulis;The Hawthorns;2015/2016
Crystal Palace;38;11;9;18;39;51;-12;42;28.95;73;4;Alan Pardew;Selhurst Park;2015/2016
Bournemouth;38;11;9;18;45;67;-22;42;28.95;69;4;Eddie Howe;Vitality Stadium;2015/2016
Sunderland;38;9;12;17;48;62;-14;39;23.68;74;6;Sam Allardyce;Stadium of Light;2015/2016
Newcastle United;38;9;10;19;44;65;-21;37;23.68;75;5;Rafael Benitez;St James Park;2015/2016
Norwich City;38;9;7;22;39;67;-28;34;23.68;68;4;Alex Neil;Carrow Road;2015/2016
Aston Villa;38;3;8;27;27;76;-49;17;7.89;72;6;Remi Garde;Villa Park;2015/2016
