EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;27;5;6;83;32;51;86;71.05;46;3;Pep Guardiola;Etihad Stadium;2020/2021
Manchester United;38;21;11;6;73;44;29;74;55.26;65;4;Ole Gunnar Solskjaer;Old Trafford;2020/2021
Liverpool;38;20;9;9;68;42;26;69;52.63;47;2;Jurgen Klopp;Anfield;2020/2021
Chelsea;38;19;10;9;58;36;22;67;50.00;52;3;Thomas Tuchel;Stamford Bridge;2020/2021
Leicester City;38;20;6;12;68;50;18;66;52.63;55;2;Brendan Rodgers;King Power Stadium;2020/2021
West Ham United;38;19;8;11;62;47;15;65;50.00;63;4;David Moyes;London Stadium;2020/2021
Tottenham Hotspur;38;18;8;12;68;45;23;62;47.37;57;3;Ryan Mason;Tottenham Hotspur Stadium;2020/2021
Arsenal;38;18;7;13;55;39;16;61;47.37;47;5;Mikel Arteta;Emirates Stadium;2020/2021
Leeds United;38;18;5;15;62;54;8;59;47.37;62;3;Marcelo Bielsa;Elland Road;2020/2021
Everton;38;17;8;13;47;48;-1;59;44.74;61;3;Carlo Ancelotti;Goodison Park;2020/2021
Aston Villa;38;16;7;15;55;46;9;55;42.11;64;4;Dean Smith;Villa Park;2020/2021
Newcastle United;38;12;9;17;46;62;-16;45;31.58;71;3;Steve Bruce;St James Park;2020/2021
Wolverhampton;38;12;9;17;36;52;-16;45;31.58;69;3;Nuno Espirito Santo;Molineux Stadium;2020/2021
Crystal Palace;38;12;8;18;41;66;-25;44;31.58;70;4;Roy Hodgson;Selhurst Park;2020/2021
Southampton;38;12;7;19;47;68;-21;43;31.58;67;4;Ralph Hasenhuttl;St Marys Stadium;2020/2021
Brighton;38;9;14;15;40;46;-6;41;23.68;62;3;Graham Potter;Amex Stadium;2020/2021
Burnley;38;10;9;19;33;55;-22;39;26.32;66;5;Sean Dyche;Turf Moor;2020/2021
Fulham;38;5;13;20;27;53;-26;28;13.16;68;4;Scott Parker;Craven Cottage;2020/2021
West Bromwich Albion;38;5;11;22;35;76;-41;26;13.16;72;5;Sam Allardyce;The Hawthorns;2020/2021
Sheffield United;38;7;2;29;20;63;-43;23;18.42;59;3;Chris Wilder;Bramall Lane;2020/2021
