EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Chelsea;38;29;4;5;72;22;50;91;76.32;58;3;Jose Mourinho;Stamford Bridge;2005/2006
Manchester United;38;25;8;5;72;34;38;83;65.79;61;2;Alex Ferguson;Old Trafford;2005/2006
Liverpool;38;25;7;6;57;25;32;82;65.79;63;3;Rafael Benitez;Anfield;2005/2006
Arsenal;38;20;7;11;68;31;37;67;52.63;59;3;Arsene Wenger;Highbury;2005/2006
Tottenham Hotspur;38;18;11;9;53;38;15;65;47.37;70;3;Martin Jol;White Hart Lane;2005/2006
Blackburn Rovers;38;19;6;13;51;42;9;63;50.00;74;5;Mark Hughes;Ewood Park;2005/2006
Newcastle United;38;17;7;14;47;42;5;58;44.74;69;4;Glenn Roeder;St James Park;2005/2006
Bolton Wanderers;38;15;11;12;49;41;8;56;39.47;73;6;Sam Allardyce;Reebok Stadium;2005/2006
West Ham United;38;16;7;15;52;55;-3;55;42.11;64;4;Alan Pardew;Upton Park;2005/2006
Wigan Athletic;38;15;6;17;45;52;-7;51;39.47;62;3;Paul Jewell;JJB Stadium;2005/2006
Everton;38;14;8;16;34;49;-15;50;36.84;70;5;David Moyes;Goodison Park;2005/2006
Fulham;38;14;6;18;48;58;-10;48;36.84;72;4;Chris Coleman;Craven Cottage;2005/2006
Charlton Athletic;38;13;8;17;41;55;-14;47;34.21;68;4;Alan Curbishley;The Valley;2005/2006
Middlesbrough;38;12;9;17;48;58;-10;45;31.58;71;6;Steve McClaren;Riverside Stadium;2005/2006
Manchester City;38;13;4;21;43;48;-5;43;34.21;73;6;Stuart Pearce;City of Manchester Stadium;2005/2006
Aston Villa;38;10;12;16;42;55;-13;42;26.32;66;3;David OLeary;Villa Park;2005/2006
Portsmouth;38;10;8;20;37;62;-25;38;26.32;70;4;Harry Redknapp;Fratton Park;2005/2006
Birmingham City;38;8;10;20;28;50;-22;34;21.05;75;4;Steve Bruce;St Andrews;2005/2006
West Bromwich Albion;38;7;9;22;31;58;-27;30;18.42;72;5;Bryan Robson;The Hawthorns;2005/2006
Sunderland;38;3;6;29;26;69;-43;15;7.89;68;5;Mick McCarthy;Stadium of Light;2005/2006
