EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Arsenal;38;26;12;0;73;26;47;90;68.42;55;2;Arsene Wenger;Highbury;2003/2004
Chelsea;38;24;7;7;67;30;37;79;63.16;63;3;Claudio Ranieri;Stamford Bridge;2003/2004
Manchester United;38;23;6;9;64;35;29;75;60.53;61;3;Alex Ferguson;Old Trafford;2003/2004
Liverpool;38;16;12;10;55;37;18;60;42.11;65;4;Gerard Houllier;Anfield;2003/2004
Newcastle United;38;13;17;8;52;40;12;56;34.21;67;3;Bobby Robson;St James Park;2003/2004
Aston Villa;38;15;11;12;48;44;4;56;39.47;62;2;David OLeary;Villa Park;2003/2004
Charlton Athletic;38;14;11;13;51;51;0;53;36.84;64;3;Alan Curbishley;The Valley;2003/2004
Bolton Wanderers;38;14;11;13;48;56;-8;53;36.84;73;5;Sam Allardyce;Reebok Stadium;2003/2004
Fulham;38;14;10;14;52;46;6;52;36.84;68;4;Chris Coleman;Craven Cottage;2003/2004
Birmingham City;38;12;14;12;43;48;-5;50;31.58;69;4;Steve Bruce;St Andrews;2003/2004
Middlesbrough;38;13;9;16;44;52;-8;48;34.21;71;4;Steve McClaren;Riverside Stadium;2003/2004
Southampton;38;12;11;15;44;45;-1;47;31.58;66;3;Paul Sturrock;St Marys Stadium;2003/2004
Portsmouth;38;12;9;17;47;54;-7;45;31.58;74;5;Harry Redknapp;Fratton Park;2003/2004
Tottenham Hotspur;38;13;6;19;47;57;-10;45;34.21;67;3;David Pleat;White Hart Lane;2003/2004
Blackburn Rovers;38;12;6;20;51;59;-8;42;31.58;70;4;Graeme Souness;Ewood Park;2003/2004
Manchester City;38;9;14;15;55;54;1;41;23.68;72;3;Kevin Keegan;City of Manchester Stadium;2003/2004
Everton;38;9;12;17;45;57;-12;39;23.68;73;4;David Moyes;Goodison Park;2003/2004
Leicester City;38;6;15;17;48;65;-17;33;15.79;69;5;Micky Adams;Walkers Stadium;2003/2004
Leeds United;38;8;9;21;40;79;-39;33;21.05;76;6;Eddie Gray;Elland Road;2003/2004
Wolverhampton Wanderers;38;7;12;19;38;77;-39;33;18.42;74;4;Dave Jones;Molineux Stadium;2003/2004
